id,source,my_model,google,bleu_vs_google,quality
21,Please send me the invoice by Monday at noon.,Bitte senden Sie mir die Rechnung bis Montag Mittag.,Bitte senden Sie mir die Rechnung bis Montag Mittag zu.,81.76129038784515,Отлично (80-100)
22,The significant weather forced the cancellation of 6 flights.,Das Wetter zwang die Annullierung von 6 Flügen.,Aufgrund des schlechten Wetters mussten sechs Flüge gestrichen werden.,4.266331692956901,Ужасно (0-20)
23,I need to sign the fossil before the meeting starts.,"Ich muss das Fossil unterschreiben, bevor das Meeting beginnt.","Ich muss das Fossil signieren, bevor das Treffen beginnt.",37.81790427652475,Плохо (20-40)
24,Scientists have discovered a new plant in the Amazon rainforest.,Wissenschaftler haben eine neue Pflanze im Amazonas-Regenwald entdeckt.,Wissenschaftler haben im Amazonas-Regenwald eine neue Pflanze entdeckt.,29.36974547349609,Плохо (20-40)
25,Please send me the summary by Friday at 5:30.,Bitte senden Sie mir die Zusammenfassung bis Freitag um 5:30 Uhr.,Bitte senden Sie mir die Zusammenfassung bis Freitag um 17:30 Uhr zu.,66.46817937381975,Хорошо (60-80)
26,Please send me the report by tomorrow at 5:30.,Bitte senden Sie mir den Bericht bis morgen um 5:30 Uhr.,Bitte senden Sie mir den Bericht bis morgen um 17:30 Uhr zu.,66.46817937381975,Хорошо (60-80)
27,Please send me the contract by Monday at noon.,Bitte senden Sie mir den Vertrag bis Montag Mittag.,Bitte senden Sie mir den Vertrag bis Montag Mittag zu.,81.76129038784515,Отлично (80-100)
28,The Lakers won the championship after a significant victory.,Die Lakers gewannen die Meisterschaft nach einem signifikanten Sieg.,Die Lakers gewannen die Meisterschaft nach einem deutlichen Sieg.,70.71067811865478,Хорошо (60-80)
29,This smartphone costs 296 euros including tax.,Das Smartphone kostet 296 Euro inkl. Steuer.,Dieses Smartphone kostet 296 Euro inklusive Steuern.,31.55984539112946,Плохо (20-40)
30,The Bayern won the championship after a slight victory.,Die Bayern siegten nach einem leichten Sieg.,Die Bayern gewannen nach einem knappen Sieg die Meisterschaft.,13.462380890160203,Ужасно (0-20)
31,This vacuum cleaner costs 411 euros including tax.,Der Staubsauger kostet 411 Euro inkl. Steuer.,Dieser Staubsauger kostet 411 Euro inklusive Steuer.,35.49481056010054,Плохо (20-40)
32,This coffee maker costs 861 euros including tax.,Diese Kaffeemaschine kostet 861 Euro inkl. Steuer.,Diese Kaffeemaschine kostet 861 Euro inklusive Steuer.,51.33450480401705,Средне (40-60)
33,Please send me the report by tomorrow at 2 PM.,Bitte senden Sie mir den Bericht bis morgen um 14 Uhr.,Bitte senden Sie mir den Bericht bis morgen um 14 Uhr zu.,84.96364166597652,Отлично (80-100)
34,"According to the ministry, the festival will take place next June.",Laut Ministerium wird das Festival im Juni 2011 stattfinden.,Nach Angaben des Ministeriums soll das Festival im kommenden Juni stattfinden.,16.830386789031852,Ужасно (0-20)
35,The dramatic weather forced the cancellation of 23 flights.,Das dramatische Wetter zwang die Annullierung von 23 Flügen.,Das dramatische Wetter zwang zur Annullierung von 23 Flügen.,65.80370064762461,Хорошо (60-80)
36,The patient was diagnosed with a rare genetic mutation.,Der Patient wurde mit einer seltenen genetischen Mutation diagnostiziert.,Bei dem Patienten wurde eine seltene genetische Mutation diagnostiziert.,16.784459625186194,Ужасно (0-20)
37,The significant old house stood at the end of the mineral road.,Am Ende der Mineralstraße stand das große alte Haus.,Das bedeutende alte Haus stand am Ende der Mineralienstraße.,13.134549472120794,Ужасно (0-20)
38,Please send me the contract by Friday at 2 PM.,Bitte senden Sie mir den Vertrag bis Freitag um 14 Uhr.,Bitte senden Sie mir den Vertrag bis Freitag um 14:00 Uhr zu.,65.78474793906989,Хорошо (60-80)
39,The Real Madrid won the championship after a unexpected victory.,Die Real Madrid siegte nach einem unerwarteten Sieg.,Real Madrid gewann die Meisterschaft nach einem unerwarteten Sieg.,45.93613320783059,Средне (40-60)
40,"According to the news report, the election will take place next May.",Laut Nachrichtenbericht wird die Wahl im Mai des kommenden Jahres stattfinden.,Dem Nachrichtenbericht zufolge soll die Wahl im kommenden Mai stattfinden.,17.827531042796263,Ужасно (0-20)
41,This laptop costs 264 euros including tax.,Dieser Laptop kostet 264 Euro inkl. Steuer.,Dieser Laptop kostet 264 Euro inklusive Steuern.,46.713797772819994,Средне (40-60)
42,The patient was diagnosed with a rare genetic mutation.,Der Patient wurde mit einer seltenen genetischen Mutation diagnostiziert.,Bei dem Patienten wurde eine seltene genetische Mutation diagnostiziert.,16.784459625186194,Ужасно (0-20)
43,I need to submit the species before the meeting starts.,Ich muss die Art vor dem Meeting einreichen.,Ich muss die Art vor Beginn des Treffens einreichen.,45.93613320783059,Средне (40-60)
44,The Bayern won the championship after a unexpected victory.,Die Bayern siegten nach einem unerwarteten Sieg.,Die Bayern gewannen nach einem unerwarteten Sieg die Meisterschaft.,33.27714551776234,Плохо (20-40)
45,The dramatic old house stood at the end of the insect road.,Das dramatische alte Haus stand am Ende der Insektenstraße.,Das dramatische alte Haus stand am Ende der Insektenstraße.,100.00000000000004,
46,The company reported a massive increase in quarterly profits.,Das Unternehmen verzeichnete einen massiven Anstieg der Quartalsgewinne.,Das Unternehmen meldete einen massiven Anstieg des Quartalsgewinns.,23.356898886410015,Плохо (20-40)
47,"According to the news report, the product launch will take place next May.",Laut News Report wird der Produktstart im Mai 2011 stattfinden.,Dem Nachrichtenbericht zufolge soll die Produkteinführung im kommenden Mai erfolgen.,4.9323515694897075,Ужасно (0-20)
48,Please send me the report by Monday at 5:30.,Bitte senden Sie mir den Bericht bis Montag um 5:30 Uhr.,Bitte senden Sie mir den Bericht bis Montag um 17:30 Uhr zu.,66.46817937381975,Хорошо (60-80)
49,Please send me the contract by tomorrow at 2 PM.,Bitte senden Sie mir den Vertrag bis morgen um 14 Uhr.,Bitte senden Sie mir den Vertrag bis morgen um 14 Uhr zu.,84.96364166597652,Отлично (80-100)
50,Scientists have discovered a new plant in the Amazon rainforest.,Wissenschaftler haben eine neue Pflanze im Amazonas-Regenwald entdeckt.,Wissenschaftler haben im Amazonas-Regenwald eine neue Pflanze entdeckt.,29.36974547349609,Плохо (20-40)
