en,de_teacher
This device costs 10 euros.,Dieses Gerät kostet 10 Euro.
This gadget costs 302 euros.,Dieses Gadget kostet 302 Euro.
The massive storm caused the confusion.,Der gewaltige Sturm sorgte für Verwirrung.
The heavy rain forced the cancellation of 31 flights.,Der starke Regen erzwang die Annullierung von 31 Flügen.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
Please triggered the proposal by Monday.,Bitte lösen Sie den Vorschlag bis Montag aus.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
I need to triggered the presentation before the end of day.,Ich muss die Präsentation vor dem Ende des Tages starten.
"According to officials, the vote will happen in soon.",Nach Angaben von Beamten wird die Abstimmung bald stattfinden.
"According to the ministry, the vote will happen in in two days.",Nach Angaben des Ministeriums wird die Abstimmung in zwei Tagen stattfinden.
Scientists have discovered a significant report in the mountains.,Wissenschaftler haben einen bedeutenden Bericht in den Bergen entdeckt.
This device costs 398 euros.,Dieses Gerät kostet 398 Euro.
The slight old house stood at the end of the the lane.,Das kleine alte Haus stand am Ende der Gasse.
"According to experts, the ceremony will happen in next week.",Experten zufolge wird die Zeremonie nächste Woche stattfinden.
Please resulted in the application by Monday.,Bitte reichen Sie den Antrag bis Montag ein.
The dramatic discovery led to the confusion.,Die dramatische Entdeckung sorgte für Verwirrung.
This machine costs 47 euros.,Diese Maschine kostet 47 Euro.
The the storm forced the cancellation of 50 appointments.,Der Sturm erzwang die Absage von 50 Terminen.
The unexpected old house stood at the end of the the path.,Das unerwartete alte Haus stand am Ende des Weges.
The massive old house stood at the end of the the street.,Das massive alte Haus stand am Ende der Straße.
This machine costs 582 euros.,Diese Maschine kostet 582 Euro.
This gadget costs 764 euros.,Dieses Gadget kostet 764 Euro.
Scientists have discovered a massive report in the desert.,Wissenschaftler haben einen riesigen Bericht in der Wüste entdeckt.
I need to resulted in the presentation before the deadline.,Ich muss die Präsentation vor Ablauf der Frist fertigstellen.
Scientists have discovered a dramatic change in the forest.,Wissenschaftler haben eine dramatische Veränderung im Wald entdeckt.
This device costs 306 euros.,Dieses Gerät kostet 306 Euro.
The significant old house stood at the end of the the path.,Am Ende des Weges stand das bedeutende alte Haus.
Please resulted in the application by Friday.,Bitte reichen Sie den Antrag bis Freitag ein.
I need to led to the overview before the deadline.,Ich muss vor Ablauf der Frist zur Übersicht geführt werden.
The significant old house stood at the end of the the street.,Am Ende der Straße stand das bedeutende alte Haus.
Scientists have discovered a significant event in the mountains.,Wissenschaftler haben ein bedeutendes Ereignis in den Bergen entdeckt.
Scientists have discovered a slight report in the ocean.,Wissenschaftler haben einen kleinen Bericht im Ozean entdeckt.
The the squad won the championship after a slight victory.,Nach einem knappen Sieg gewann die Mannschaft die Meisterschaft.
The massive change led to the delay.,Die massive Veränderung führte zu der Verzögerung.
The unexpected old house stood at the end of the the path.,Das unerwartete alte Haus stand am Ende des Weges.
I need to caused the presentation before the meeting.,Ich muss die Präsentation vor dem Meeting veranlassen.
Please triggered the invoice by the end of the week.,Bitte lösen Sie die Rechnung bis zum Ende der Woche aus.
"According to the report, the launch will happen in in two days.",Dem Bericht zufolge soll der Start in zwei Tagen erfolgen.
The the heat forced the cancellation of 49 flights.,Aufgrund der Hitze mussten 49 Flüge gestrichen werden.
The significant old house stood at the end of the the path.,Am Ende des Weges stand das bedeutende alte Haus.
Please led to the invoice by Friday.,Bitte erhalten Sie die Rechnung bis Freitag.
Scientists have discovered a slight event in the mountains.,Wissenschaftler haben ein kleines Ereignis in den Bergen entdeckt.
Scientists have discovered a massive event in the forest.,Wissenschaftler haben ein gewaltiges Ereignis im Wald entdeckt.
Please triggered the contract by Friday.,Bitte lösen Sie den Vertrag bis Freitag aus.
Please triggered the invoice by Friday.,Bitte senden Sie die Rechnung bis Freitag.
The significant change caused the confusion.,Die wesentliche Änderung sorgte für Verwirrung.
"According to experts, the ceremony will happen in tomorrow.",Experten zufolge wird die Zeremonie morgen stattfinden.
The the club won the championship after a slight victory.,Nach einem knappen Sieg gewann der Verein die Meisterschaft.
I need to resulted in the presentation before the meeting.,Ich muss die Präsentation vor dem Treffen erstellen.
The significant discovery triggered the confusion.,Die bedeutende Entdeckung löste Verwirrung aus.
"According to experts, the meeting will happen in in two days.",Experten zufolge wird das Treffen in zwei Tagen stattfinden.
"According to experts, the vote will happen in tomorrow.",Experten zufolge wird die Abstimmung morgen stattfinden.
This gadget costs 968 euros.,Dieses Gadget kostet 968 Euro.
Please led to the contract by the end of the week.,Bitte führen Sie den Vertrag bis zum Ende der Woche durch.
The dramatic old house stood at the end of the the street.,Das eindrucksvolle alte Haus stand am Ende der Straße.
"According to the ministry, the launch will happen in tomorrow.",Nach Angaben des Ministeriums wird der Start morgen erfolgen.
The massive old house stood at the end of the the lane.,Das massive alte Haus stand am Ende der Gasse.
The slight event triggered the confusion.,Der kleine Vorfall löste die Verwirrung aus.
I need to triggered the overview before the meeting.,Ich muss die Übersicht vor dem Meeting auslösen.
The heavy rain forced the cancellation of 43 flights.,Der starke Regen erzwang die Annullierung von 43 Flügen.
The dramatic old house stood at the end of the the path.,Das eindrucksvolle alte Haus stand am Ende des Weges.
I need to caused the summary before the end of day.,Ich muss die Zusammenfassung vor dem Ende des Tages erstellen.
This tool costs 672 euros.,Dieses Werkzeug kostet 672 Euro.
Please triggered the invoice by Monday.,Bitte senden Sie die Rechnung bis Montag.
The significant report resulted in the damage.,Die erhebliche Meldung führte zu dem Schaden.
The significant change resulted in the confusion.,Die wesentliche Änderung führte zu Verwirrung.
The patient was diagnosed with an infection.,Bei dem Patienten wurde eine Infektion diagnostiziert.
The massive old house stood at the end of the the lane.,Das massive alte Haus stand am Ende der Gasse.
I need to caused the analysis before the meeting.,Ich muss die Analyse vor dem Treffen veranlassen.
Scientists have discovered a significant change in the forest.,Wissenschaftler haben eine bedeutende Veränderung im Wald entdeckt.
Please caused the proposal by the end of the week.,Bitte reichen Sie den Vorschlag bis Ende der Woche ein.
The bad weather forced the cancellation of 29 appointments.,Aufgrund des schlechten Wetters mussten 29 Termine abgesagt werden.
I need to caused the analysis before the end of day.,Ich muss die Analyse vor dem Ende des Tages veranlassen.
The the squad won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann die Mannschaft die Meisterschaft.
The patient was diagnosed with an infection.,Bei dem Patienten wurde eine Infektion diagnostiziert.
Scientists have discovered a unexpected change in the desert.,Wissenschaftler haben eine unerwartete Veränderung in der Wüste entdeckt.
This machine costs 423 euros.,Diese Maschine kostet 423 Euro.
I need to resulted in the analysis before the end of day.,Ich muss die Analyse vor dem Ende des Tages abschließen.
The the team won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann das Team die Meisterschaft.
"According to the report, the launch will happen in tomorrow.",Dem Bericht zufolge soll der Start morgen erfolgen.
The dramatic old house stood at the end of the the lane.,Das eindrucksvolle alte Haus stand am Ende der Gasse.
This tool costs 994 euros.,Dieses Tool kostet 994 Euro.
The slight event resulted in the damage.,Das geringfügige Ereignis führte zu dem Schaden.
I need to caused the presentation before the meeting.,Ich muss die Präsentation vor dem Meeting veranlassen.
The the team won the championship after a slight victory.,Nach einem knappen Sieg gewann das Team die Meisterschaft.
The the heat forced the cancellation of 38 meetings.,Aufgrund der Hitze mussten 38 Treffen abgesagt werden.
I need to resulted in the summary before the deadline.,Ich muss die Zusammenfassung vor Ablauf der Frist fertigstellen.
The the storm forced the cancellation of 37 appointments.,Der Sturm erzwang die Absage von 37 Terminen.
The the heat forced the cancellation of 42 flights.,Aufgrund der Hitze mussten 42 Flüge gestrichen werden.
This gadget costs 857 euros.,Dieses Gadget kostet 857 Euro.
The dramatic old house stood at the end of the the gravel road.,Das eindrucksvolle alte Haus stand am Ende der Schotterstraße.
The the squad won the championship after a slight victory.,Nach einem knappen Sieg gewann die Mannschaft die Meisterschaft.
The massive old house stood at the end of the the path.,Das massive alte Haus stand am Ende des Weges.
Scientists have discovered a slight event in the ocean.,Wissenschaftler haben ein kleines Ereignis im Ozean entdeckt.
"According to officials, the ceremony will happen in tomorrow.",Nach Angaben der Beamten wird die Zeremonie morgen stattfinden.
This tool costs 924 euros.,Dieses Werkzeug kostet 924 Euro.
Scientists have discovered a dramatic discovery in the ocean.,Wissenschaftler haben eine dramatische Entdeckung im Ozean gemacht.
The the club won the championship after a dramatic victory.,Nach einem dramatischen Sieg gewann der Verein die Meisterschaft.
The heavy rain forced the cancellation of 4 appointments.,Der starke Regen erzwang die Absage von 4 Terminen.
The the heat forced the cancellation of 10 flights.,Die Hitze zwang zur Annullierung von 10 Flügen.
Please led to the proposal by Friday.,Bitte reichen Sie den Vorschlag bis Freitag ein.
The dramatic event resulted in the damage.,Das dramatische Ereignis führte zu dem Schaden.
Please led to the proposal by Monday.,Bitte reichen Sie den Vorschlag bis Montag ein.
Please resulted in the application by the end of the week.,Bitte reichen Sie den Antrag bis Ende der Woche ein.
Please triggered the contract by Monday.,Bitte lösen Sie den Vertrag bis Montag aus.
"According to experts, the ceremony will happen in in two days.",Experten zufolge wird die Zeremonie in zwei Tagen stattfinden.
This machine costs 522 euros.,Diese Maschine kostet 522 Euro.
The the team won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann das Team die Meisterschaft.
I need to triggered the summary before the deadline.,Ich muss die Zusammenfassung vor Ablauf der Frist auslösen.
The dramatic report caused the delay.,Der dramatische Bericht sorgte für die Verzögerung.
I need to triggered the summary before the meeting.,Ich muss die Zusammenfassung vor dem Meeting auslösen.
I need to resulted in the presentation before the deadline.,Ich muss die Präsentation vor Ablauf der Frist fertigstellen.
The heavy rain forced the cancellation of 12 events.,Aufgrund des starken Regens mussten zwölf Veranstaltungen abgesagt werden.
The the storm forced the cancellation of 17 flights.,Der Sturm erzwang die Annullierung von 17 Flügen.
This gadget costs 185 euros.,Dieses Gadget kostet 185 Euro.
This tool costs 512 euros.,Dieses Werkzeug kostet 512 Euro.
"According to experts, the meeting will happen in in two days.",Experten zufolge wird das Treffen in zwei Tagen stattfinden.
The massive old house stood at the end of the the lane.,Das massive alte Haus stand am Ende der Gasse.
The unexpected old house stood at the end of the the street.,Das unerwartete alte Haus stand am Ende der Straße.
The dramatic change caused the damage.,Die dramatische Veränderung verursachte den Schaden.
The the squad won the championship after a slight victory.,Nach einem knappen Sieg gewann die Mannschaft die Meisterschaft.
This machine costs 421 euros.,Diese Maschine kostet 421 Euro.
Scientists have discovered a dramatic report in the ocean.,Wissenschaftler haben einen dramatischen Bericht im Ozean entdeckt.
"According to officials, the launch will happen in in two days.",Nach offiziellen Angaben wird der Start in zwei Tagen erfolgen.
The the storm forced the cancellation of 41 appointments.,Der Sturm erzwang die Absage von 41 Terminen.
I need to triggered the analysis before the end of day.,Ich muss die Analyse vor Tagesende auslösen.
Scientists have discovered a massive event in the forest.,Wissenschaftler haben ein gewaltiges Ereignis im Wald entdeckt.
The the storm forced the cancellation of 7 flights.,Der Sturm erzwang die Annullierung von sieben Flügen.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
This machine costs 528 euros.,Diese Maschine kostet 528 Euro.
This tool costs 774 euros.,Dieses Werkzeug kostet 774 Euro.
I need to led to the analysis before the end of day.,Ich muss vor dem Ende des Tages zur Analyse geführt werden.
The the heat forced the cancellation of 13 flights.,Aufgrund der Hitze mussten 13 Flüge gestrichen werden.
Please resulted in the proposal by Friday.,Bitte reichen Sie den Vorschlag bis Freitag ein.
Please caused the application by Monday.,Bitte stellen Sie den Antrag bis Montag.
The heavy rain forced the cancellation of 48 appointments.,Aufgrund des starken Regens mussten 48 Termine abgesagt werden.
Scientists have discovered a slight discovery in the mountains.,Wissenschaftler haben in den Bergen eine kleine Entdeckung gemacht.
The the storm forced the cancellation of 16 events.,Der Sturm erzwang die Absage von 16 Veranstaltungen.
The significant old house stood at the end of the the street.,Am Ende der Straße stand das bedeutende alte Haus.
The dramatic old house stood at the end of the the street.,Das eindrucksvolle alte Haus stand am Ende der Straße.
The bad weather forced the cancellation of 26 events.,Aufgrund des schlechten Wetters mussten 26 Veranstaltungen abgesagt werden.
The slight storm led to the damage.,Der leichte Sturm führte zu dem Schaden.
Please resulted in the proposal by the end of the week.,Bitte reichen Sie den Vorschlag bis Ende der Woche ein.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
This device costs 120 euros.,Dieses Gerät kostet 120 Euro.
I need to caused the analysis before the end of day.,Ich muss die Analyse vor dem Ende des Tages veranlassen.
This tool costs 715 euros.,Dieses Werkzeug kostet 715 Euro.
"According to officials, the launch will happen in tomorrow.",Nach offiziellen Angaben wird der Start morgen erfolgen.
Please caused the application by the end of the week.,Bitte stellen Sie den Antrag bis Ende der Woche.
I need to led to the analysis before the meeting.,Ich muss vor dem Treffen zur Analyse geführt werden.
"According to the report, the vote will happen in in two days.",Dem Bericht zufolge soll die Abstimmung in zwei Tagen stattfinden.
This machine costs 77 euros.,Diese Maschine kostet 77 Euro.
Scientists have discovered a significant report in the desert.,Wissenschaftler haben einen bedeutenden Bericht in der Wüste entdeckt.
Please caused the application by Friday.,Bitte stellen Sie den Antrag bis Freitag.
The unexpected old house stood at the end of the the lane.,Das unerwartete alte Haus stand am Ende der Gasse.
The the club won the championship after a unexpected victory.,Nach einem unerwarteten Sieg gewann der Verein die Meisterschaft.
"According to officials, the launch will happen in next week.",Nach offiziellen Angaben wird der Start nächste Woche erfolgen.
The bad weather forced the cancellation of 40 flights.,Das schlechte Wetter zwang zur Annullierung von 40 Flügen.
The the team won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann das Team die Meisterschaft.
"According to the report, the meeting will happen in next week.",Dem Bericht zufolge soll das Treffen nächste Woche stattfinden.
I need to caused the summary before the meeting.,Ich muss die Zusammenfassung vor dem Treffen veranlassen.
Please triggered the invoice by Friday.,Bitte senden Sie die Rechnung bis Freitag.
The slight old house stood at the end of the the path.,Das kleine alte Haus stand am Ende des Weges.
Scientists have discovered a slight report in the ocean.,Wissenschaftler haben einen kleinen Bericht im Ozean entdeckt.
Please resulted in the invoice by the end of the week.,Bitte erhalten Sie die Rechnung bis zum Ende der Woche.
The patient was diagnosed with an infection.,Bei dem Patienten wurde eine Infektion diagnostiziert.
The dramatic discovery triggered the damage.,Der dramatische Fund löste den Schaden aus.
I need to resulted in the summary before the deadline.,Ich muss die Zusammenfassung vor Ablauf der Frist fertigstellen.
"According to officials, the meeting will happen in tomorrow.",Nach Angaben der Beamten wird das Treffen morgen stattfinden.
This device costs 436 euros.,Dieses Gerät kostet 436 Euro.
Scientists have discovered a slight discovery in the forest.,Wissenschaftler haben im Wald eine kleine Entdeckung gemacht.
The the team won the championship after a dramatic victory.,Nach einem dramatischen Sieg gewann das Team die Meisterschaft.
This gadget costs 341 euros.,Dieses Gadget kostet 341 Euro.
"According to the ministry, the meeting will happen in next week.",Nach Angaben des Ministeriums wird das Treffen nächste Woche stattfinden.
Please caused the invoice by the end of the week.,Bitte stellen Sie die Rechnung bis zum Ende der Woche ein.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
Scientists have discovered a slight change in the forest.,Wissenschaftler haben eine leichte Veränderung im Wald entdeckt.
The the club won the championship after a massive victory.,Der Verein gewann die Meisterschaft nach einem gewaltigen Sieg.
The significant old house stood at the end of the the street.,Am Ende der Straße stand das bedeutende alte Haus.
"According to officials, the vote will happen in soon.",Nach Angaben von Beamten wird die Abstimmung bald stattfinden.
This machine costs 402 euros.,Diese Maschine kostet 402 Euro.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
This machine costs 196 euros.,Diese Maschine kostet 196 Euro.
Scientists have discovered a massive change in the ocean.,Wissenschaftler haben eine massive Veränderung im Ozean entdeckt.
Please caused the proposal by the end of the week.,Bitte reichen Sie den Vorschlag bis Ende der Woche ein.
The heavy rain forced the cancellation of 48 events.,Aufgrund des starken Regens mussten 48 Veranstaltungen abgesagt werden.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
The the team won the championship after a unexpected victory.,Nach einem unerwarteten Sieg gewann das Team die Meisterschaft.
"According to experts, the launch will happen in soon.",Experten zufolge wird der Start in Kürze erfolgen.
The the squad won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann die Mannschaft die Meisterschaft.
The the heat forced the cancellation of 4 meetings.,Die Hitze zwang zur Absage von 4 Treffen.
The the club won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann der Verein die Meisterschaft.
"According to the report, the vote will happen in next week.",Dem Bericht zufolge soll die Abstimmung nächste Woche stattfinden.
"According to officials, the launch will happen in soon.",Nach Angaben von Beamten wird der Start bald erfolgen.
"According to officials, the vote will happen in soon.",Nach Angaben von Beamten wird die Abstimmung bald stattfinden.
The massive event led to the confusion.,Das Großereignis sorgte für Verwirrung.
The massive storm caused the damage.,Der gewaltige Sturm verursachte den Schaden.
The dramatic old house stood at the end of the the gravel road.,Das eindrucksvolle alte Haus stand am Ende der Schotterstraße.
Scientists have discovered a dramatic report in the forest.,Wissenschaftler haben im Wald einen dramatischen Bericht entdeckt.
This tool costs 560 euros.,Dieses Werkzeug kostet 560 Euro.
This gadget costs 304 euros.,Dieses Gadget kostet 304 Euro.
The the squad won the championship after a massive victory.,Nach einem gewaltigen Sieg gewann die Mannschaft die Meisterschaft.
The slight report triggered the damage.,Der leichte Knall löste den Schaden aus.
I need to caused the analysis before the deadline.,Ich muss die Analyse vor Ablauf der Frist veranlassen.
Scientists have discovered a slight report in the ocean.,Wissenschaftler haben einen kleinen Bericht im Ozean entdeckt.
